,price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,floors
67,35000000,Tikathali,169.012,West,6.0,4.0,3.0,3.0,10,20.0,,3.0
68,29500000,Dhapakhel,126.759,South,4.0,5.0,2.0,2.0,8,10.0,,4.0
70,28000000,manmaiju,3.5,South,5.0,4.0,2.0,2.0,5,13.0,,2.5
74,41000000,Bhaisepati,169.012,North,4.0,3.0,2.0,2.0,11,16.0,,2.5
75,28500000,Tikathali,126.759,East,5.0,4.0,2.0,2.0,13,13.0,,3.5
76,57500000,Bhaisepati,253.518,East,4.0,3.0,1.0,1.0,9,13.0,,2.0
77,26500000,Gothatar,126.759,North,6.0,4.0,2.0,2.0,14,13.0,,2.5
78,33000000,Balkot,126.759,East,6.0,5.0,2.0,2.0,15,13.0,,3.0
79,42000000,Imadol,169.012,South,6.0,5.0,2.0,2.0,15,13.0,,3.0
80,42500000,tauk,14.0,East,0.0,0.0,0.0,0.0,16,0.0,,3.5
82,32500000,Pepsicola,147.8855,West,8.0,6.0,2.0,2.0,18,13.0,,3.5
83,60000000,Kalanki,253.518,East,4.0,4.0,2.0,2.0,9,10.0,,2.5
84,41000000,Bhaisepati,169.012,North,4.0,3.0,2.0,2.0,11,16.0,,2.5
85,45000000,Bhaisepati,190.1385,West,4.0,3.0,2.0,2.0,11,13.0,,2.5
86,50000000,Bhaisepati,211.265,East,4.0,3.0,2.0,2.0,11,13.0,,2.5
87,21000000,Imadol,126.759,North,6.0,5.0,2.0,2.0,15,15.0,,2.5
88,17500000,Lamatar,147.8855,South,3.0,2.0,1.0,1.0,5,20.0,,2.5
89,33500000,Pepsicola,147.8855,East,6.0,5.0,2.0,2.0,15,22.0,,3.5
91,0,Bhaisepati,211.265,South,6.0,4.0,2.0,2.0,14,13.0,,3.0
92,75000000,Bhaisepati,295.771,South,5.0,6.0,2.0,2.0,15,13.0,,2.5
93,40000000,Ganesh,190.1385,East,5.0,4.0,2.0,2.0,13,16.0,,3.0
94,57500000,Sital,211.265,East,7.0,6.0,2.0,2.0,17,26.0,,3.5
95,37500000,Imadol,169.012,West,7.0,5.0,2.0,2.0,16,13.0,,3.5
96,33500000,Imadol,126.759,South,8.0,4.0,2.0,2.0,16,13.0,,3.5
97,0,Pasikot,253.518,South,6.0,5.0,2.0,2.0,15,20.0,,2.5
98,0,Hattigauda,257.7433,West,5.0,6.0,2.0,2.0,15,20.0,,2.5
99,24500000,Sitalheight,126.759,East,4.0,3.0,2.0,2.0,11,13.0,,2.5
100,27000000,Imadol,126.759,North,5.0,5.0,2.0,2.0,14,13.0,,3.0
101,26500000,Tikathali,126.759,West,7.0,5.0,2.0,2.0,16,13.0,,3.0
102,31000000,Tikathali,126.759,South,7.0,4.0,2.0,2.0,15,13.0,,3.0
103,26500000,Tikathali,126.759,South,8.0,6.0,2.0,2.0,18,13.0,,3.5
104,25000000,Imadol,126.759,North,6.0,4.0,2.0,2.0,14,13.0,,3.5
105,15500000,Siddhipur,126.759,North,2.0,1.0,1.0,1.0,5,13.0,,1.5
106,33500000,Imadol,126.759,North,6.0,3.0,2.0,2.0,13,13.0,,2.5
108,30000000,Imadol,147.8855,East,8.0,4.0,3.0,3.0,15,13.0,,3.5
110,49000000,Chorepatan,253.518,North,5.0,4.0,2.0,2.0,11,16.0,,2.5
111,18500000,bala,126.759,South,7.0,6.0,3.0,3.0,13,8.0,,3.5
112,43500000,Harisiddhi,7.0,West,6.0,5.0,1.0,1.0,8,13.0,,2.5
113,24500000,Imadol,126.759,North,8.0,6.0,2.0,2.0,8,16.0,,3.0
114,20000000,Main,147.8855,South,2.0,4.0,2.0,2.0,7,26.0,,2.5
116,42000000,Imadol,147.8855,West,5.0,4.0,2.0,2.0,13,13.0,,3.5
117,30000000,Imadol,126.759,West,6.0,5.0,2.0,2.0,15,13.0,,3.0
118,22000000,Lubhu,126.759,East,5.0,4.0,2.0,2.0,13,16.0,,2.5
121,37000000,Hattigauda,169.012,West,4.0,3.0,1.0,1.0,9,13.0,,3.0
122,0,Hattigauda,87616.0,East,5.0,8.0,2.0,1.0,16,13.0,,2.5
123,29000000,Imadol,126.759,East,6.0,5.0,2.0,2.0,15,16.0,,2.5
124,66000000,Koteshwor,360.995,East,12.0,6.0,12.0,6.0,33,20.0,,5.0
126,60000000,Thimi,253.518,North,5.0,4.0,1.0,1.0,11,20.0,,3.0
127,27000000,Sanagaun,126.759,South,5.0,4.0,1.0,1.0,11,13.0,,4.0
128,55000000,Imadol,211.265,West,5.0,4.0,1.0,1.0,11,20.0,,3.0
129,39000000,Chapali,190.1385,North,5.0,4.0,1.0,1.0,11,14.0,,3.0
130,21500000,Ramailo,126.759,South,6.0,5.0,2.0,2.0,10,12.0,,3.5
131,41000000,Pasikot,85.56,West,4.0,2.0,1.0,2.0,9,13.0,,2.5
133,37000000,Hattigauda,169.012,West,4.0,2.0,1.0,2.0,9,13.0,,3.0
134,55000000,Hattigauda,513.36,West,4.0,2.0,1.0,2.0,9,16.0,,3.0
135,29500000,Tikathali,256.68,North,5.0,5.0,2.0,2.0,14,13.0,,3.0
136,35500000,Setipakha,256.68,East,6.0,4.0,2.0,2.0,14,13.0,,3.0
137,38500000,Imadol,256.68,West,6.0,4.0,1.0,2.0,13,13.0,,2.5
138,36500000,Bhaisepati,169.012,North,4.0,5.0,2.0,1.0,12,13.0,,2.5
145,39000000,Dhobighat,256.68,East,7.0,4.0,1.0,2.0,10,12.0,,3.5
148,24000000,Duwakot,1069.5,South,6.0,4.0,2.0,2.0,11,13.0,,2.5
149,21000000,Taukhel,169.012,West,0.0,0.0,0.0,0.0,0,20.0,,0.0
153,12500000,Bade,169.012,North,4.0,3.0,1.0,1.0,6,13.0,,3.0
162,22000000,Imadol,84.506,South,4.0,4.0,2.0,2.0,4,13.0,,2.5
163,12500000,Akasaydara,126.759,North,2.0,4.0,2.0,2.0,10,15.0,,2.5
165,21000000,Taukhel,169.012,East,0.0,0.0,0.0,0.0,0,13.0,,0.0
166,7000000,Thecho,126.759,North,0.0,0.0,0.0,0.0,0,13.0,,0.0
167,43500000,Budhanilkantha,190.1385,South,6.0,4.0,1.0,1.0,6,13.0,,2.5
168,25000000,Imadol,126.759,South,5.0,3.0,1.0,1.0,5,13.0,,2.5
169,49000000,Nakhipot,211.265,East,4.0,4.0,2.0,2.0,4,20.0,,2.5
171,20000000,Dhumbarahi,147.8855,North,6.0,2.0,1.0,2.0,9,8.0,,2.5
172,50000000,Nakhipot,211.265,East,4.0,4.0,2.0,2.0,5,20.0,,2.5
173,31499999,Imadol,126.759,North,6.0,4.0,1.0,2.0,9,13.0,,3.0
176,39500000,Sital,169.012,West,5.0,6.0,2.0,2.0,8,14.0,,2.5
178,22500000,Kapan,85.56,South,6.0,5.0,2.0,2.0,7,13.0,,2.5
182,13000000,Taukhel,5.0,East,0.0,0.0,0.0,0.0,0,13.0,,0.0
183,23500000,Imadol,126.759,East,7.0,4.0,2.0,2.0,7,13.0,,2.5
184,27000000,Imadol,126.759,North,5.0,5.0,2.0,2.0,5,13.0,,3.0
213,23500000,Imadol,126.759,West,5.0,3.0,2.0,2.0,8,12.0,,2.5
216,38500000,Pahelopul,169.012,South,13.0,5.0,1.0,4.0,18,20.0,,4.5
218,24500000,Dhumbarahi,126.759,East,3.0,2.0,1.0,1.0,4,13.0,,2.5
222,27500000,Hattiban,126.759,West,5.0,4.0,2.0,2.0,8,10.0,,2.5
225,80000000,Narayanthan,422.53,East,4.0,6.0,2.0,1.0,8,20.0,,2.5
254,22000000,Kapan,126.759,West,6.0,4.0,2.0,2.0,6,13.0,,2.5
267,26500000,Tikathali,126.759,South,7.0,4.0,2.0,2.0,8,20.0,,2.5
283,30000000,Satdobato,3.1,South,4.0,4.0,1.0,1.0,7,13.0,,2.5
289,26900000,Balkot,147.8855,North,7.0,3.0,3.0,2.0,18,13.0,,3.0
291,18500000,Karki,126.759,West,3.0,3.0,2.0,3.0,11,26.0,,2.5
292,57000000,Imadol,211.265,South,7.0,5.0,2.0,2.0,10,13.0,,3.0
304,47500000,Imadol,513.36,West,5.0,3.0,1.0,2.0,6,13.0,,3.0
309,32000000,Imadol,126.759,East,4.0,3.0,1.0,1.0,7,13.0,,2.5
310,29000000,Imadol,126.759,South,6.0,4.0,2.0,2.0,11,11.0,,3.5
311,28000000,Imadol,126.759,South,5.0,4.0,2.0,2.0,11,13.0,,3.5
312,40000000,Chapali,190.1385,South,5.0,4.0,1.0,1.0,7,13.0,,2.5
315,29000000,Lamatar,425.692,East,5.0,4.0,1.0,1.0,7,13.0,,2.5
317,39000000,ekantakuna,253.518,West,6.0,3.0,3.0,3.0,7,20.0,,3.5
328,37500000,Sanagaun,200.70175,South,3.0,5.0,3.0,1.0,7,13.0,,3.5
332,28000000,Balambu,190.1385,West,4.0,4.0,2.0,2.0,3,13.0,,2.5
336,31000000,Imadol,126.759,North,5.0,5.0,2.0,2.0,7,13.0,,3.0
337,26500000,Imadol,126.759,South,5.0,5.0,2.0,2.0,7,13.0,,2.5
338,23000000,Tikathali,126.759,North,5.0,4.0,2.0,2.0,10,13.0,,2.5
342,75000000,kadaghari,169.012,South,10.0,6.0,1.0,2.0,16,20.0,,4.5
343,21500000,Balkot,169.012,East,4.0,3.0,2.0,2.0,8,12.0,,2.5
347,35500000,Imadol,126.759,East,5.0,5.0,2.0,2.0,9,13.0,,3.5
349,38000000,budhanikantha,169.012,East,4.0,4.0,1.0,1.0,9,16.0,,2.5
352,31000000,Bhangal,147.8855,South,6.0,5.0,2.0,1.0,10,13.0,,2.5
353,57500000,imadol,211.265,South,5.0,4.0,2.0,2.0,10,13.0,,3.0
354,38000000,kapan,169.012,South,7.0,5.0,2.0,3.0,10,13.0,,2.5
356,25000000,imadol,126.759,East,5.0,4.0,2.0,2.0,10,13.0,,3.5
357,25500000,tikathali,126.759,East,4.0,3.0,2.0,2.0,7,13.0,,2.5
358,26500000,jorpati,126.759,North,7.0,4.0,2.0,2.0,10,13.0,,3.5
362,31500000,imadol,233.709,North,10.0,6.0,1.0,2.0,10,13.0,,3.5
365,27000000,Imadol,126.759,North,4.0,4.0,2.0,4.0,1,13.0,,3.0
366,40000000,Balkot,169.012,East,4.0,4.0,2.0,1.0,1,20.0,,2.0
367,29000000,Imadol,169.012,South,5.0,4.0,2.0,2.0,1,13.0,,3.0
368,35000000,Syuchatar,169.012,South,6.0,6.0,2.0,2.0,1,20.0,,2.0
370,12500000,Kmc,126.759,North,1.0,1.0,1.0,1.0,4,12.0,,1.0
372,18500000,Imadol,277.016,North,4.0,3.0,2.0,2.0,8,15.0,,3.5
373,40000000,Siddhipur,211.265,South,12.0,4.0,3.0,2.0,15,16.0,,3.0
377,32500000,Gothatar,126.759,West,6.0,4.0,2.0,2.0,1,13.0,,1.0
378,31500000,Gothatar,126.759,South,12.0,4.0,3.0,3.0,1,13.0,,1.0
379,21000000,Srijana,84.506,East,4.0,4.0,1.0,1.0,1,13.0,,1.0
380,60000000,Near,295.771,North,12.0,3.0,1.0,1.0,10,12.0,,3.0
382,58000000,Maharajgunj,295.771,West,6.0,4.0,2.0,2.0,1,20.0,,1.0
383,38000000,Golfutar,169.012,North,3.0,3.0,1.0,1.0,1,14.0,,1.0
384,85000000,Maharajgunj,5476.0,South,3.0,3.0,1.0,1.0,1,13.0,,1.0
385,190000000,Rudreshwor,10952.0,South,5.0,5.0,2.0,1.0,1,13.0,,1.0
386,104000000,Bansbari,5476.0,West,5.0,4.0,1.0,1.0,1,13.0,,1.0
387,65000000,Bansbari,380.277,South,5.0,5.0,1.0,1.0,1,13.0,,1.0
388,125000000,Narayanthan,549.289,North,5.0,5.0,2.0,1.0,1,14.0,,1.0
389,96000000,Maitidevi,549.289,South,5.0,4.0,1.0,1.0,1,14.0,,1.0
390,31000000,Katunje,169.012,South,5.0,4.0,3.0,2.0,1,13.0,,1.0
391,112000000,Rudreshwor,93092.0,East,5.0,6.0,2.0,2.0,1,13.0,,1.0
392,120000000,Hattigauda,591.542,East,7.0,7.0,2.0,1.0,1,16.0,,1.0
393,135000000,Chappal,633.795,East,5.0,5.0,1.0,1.0,1,20.0,,1.0
395,68000000,"Pasikot,",8.5,West,6.0,5.0,1.0,1.0,1,13.0,,1.0
396,39500000,Bhangal,211.265,East,6.0,4.0,1.0,1.0,8,20.0,,2.5
397,115000000,"Rudreshwor,",718.301,East,5.0,5.0,2.0,2.0,1,13.0,,2.5
398,38000000,Deuba,173.23729999999998,South,5.0,6.0,2.0,2.0,1,14.0,,2.5
399,50000000,"Rudreshwor,",295.771,North,4.0,5.0,1.0,1.0,1,13.0,,2.5
400,48000000,"Golfutar,",7.0,East,4.0,4.0,1.0,1.0,1,13.0,,2.5
401,26000000,Kantipur,126.759,West,4.0,4.0,1.0,1.0,1,16.0,,1.0
402,144000000,"Manbhaban,",5476.0,South,5.0,4.0,2.0,1.0,1,13.0,,2.5
403,35000000,Harharmahadev,169.012,South,6.0,5.0,3.0,2.0,1,13.0,,1.0
404,32500000,Ganesh,3.1,West,6.0,6.0,1.0,2.0,1,16.0,,2.5
405,17500000,Tej,126.759,North,2.0,1.0,1.0,1.0,1,13.0,,1.0
406,43500000,Ganesh,4.3,West,6.0,6.0,2.0,2.0,1,13.0,,1.0
407,150000000,"Chappalkarkhana,",802.807,South,1.0,1.0,1.0,1.0,1,20.0,,1.0
408,70000000,"Golfutar,",422.53,South,1.0,1.0,1.0,1.0,1,13.0,,1.0
409,28000000,Tej,126.759,East,6.0,3.0,2.0,2.0,1,20.0,,1.0
410,23000000,Jorpati,126.759,East,2.0,2.0,1.0,1.0,1,13.0,,1.0
411,50000000,Deuwa,253.518,West,4.0,2.0,1.0,1.0,1,20.0,,1.0
412,77000000,Golfutar,253.518,North,5.0,4.0,2.0,2.0,1,13.0,,1.0
413,36000000,Kadaghari,169.012,West,5.0,5.0,2.0,2.0,1,13.0,,1.0
414,80000000,Bishalnagar,338.024,South,5.0,4.0,2.0,1.0,1,20.0,,1.0
416,42000000,dhilahiti,169.012,South,5.0,5.0,2.0,2.0,1,16.0,,1.0
417,110000000,Maharajgunj,295.771,South,4.0,4.0,2.0,1.0,1,18.0,,1.0
418,28500000,Kadaghari,126.759,South,6.0,6.0,3.0,3.0,1,13.0,,1.0
419,85000000,Bhaisepati,211.265,East,7.0,7.0,2.0,1.0,1,14.0,,1.0
421,27500000,Imadol,126.759,North,6.0,4.0,2.0,3.0,1,20.0,,1.0
422,152500000,Manbhawan,5476.0,South,5.0,4.0,2.0,1.0,1,16.0,,1.0
423,130000000,Baluwatar,422.53,North,5.0,5.0,2.0,1.0,1,15.0,,1.0
424,50000000,Baneshwor,169.012,West,6.0,3.0,2.0,2.0,1,16.0,,1.0
426,32500000,Mandikatar,126.759,South,6.0,4.0,2.0,2.0,1,13.0,,1.0
427,30000000,Lasuntar,126.759,South,6.0,4.0,2.0,2.0,1,13.0,,1.0
428,47000000,Ganesh,211.265,East,6.0,6.0,2.0,2.0,1,13.0,,1.0
429,34000000,Lasuntar,169.012,South,5.0,5.0,2.0,2.0,1,13.0,,1.0
430,44500000,Sukedhara,253.518,East,6.0,4.0,2.0,2.0,1,16.0,,1.0
431,29000000,Bhangal,169.012,East,6.0,5.0,2.0,2.0,1,12.0,,1.0
432,50000000,Rudreshwor,338.024,East,5.0,4.0,1.0,1.0,1,13.0,,1.0
433,33000000,Bhangal,126.759,East,5.0,4.0,2.0,2.0,1,13.0,,1.0
434,140000000,Bansbari,5476.0,East,5.0,4.0,2.0,1.0,1,13.0,,1.0
435,70000000,Golfutar,422.53,South,4.0,4.0,2.0,1.0,1,20.0,,1.0
436,50000000,Rudreshwor,295.771,East,4.0,5.0,1.0,1.0,1,13.0,,1.0
437,115000000,Sukedhara,507.036,East,5.0,4.0,2.0,1.0,1,14.0,,1.0
439,37500000,Rudreshwor,211.265,South,4.0,4.0,2.0,1.0,1,13.0,,1.0
440,120000000,Ganesh,633.795,East,6.0,6.0,1.0,1.0,1,13.0,,1.0
441,72000000,Hepali,338.024,South,5.0,5.0,2.0,1.0,1,20.0,,1.0
443,80000000,Naxal,422.53,East,5.0,4.0,1.0,1.0,1,14.0,,1.0
444,100000000,Pasikot,633.795,North,5.0,5.0,1.0,1.0,1,15.0,,1.0
445,19000000,Pabitra,2.5,East,5.0,2.0,2.0,2.0,9,10.0,,2.5
446,19000000,Pabitra,2.5,East,5.0,2.0,2.0,2.0,9,10.0,,2.5
447,78500000,Pasikot,338.024,West,6.0,5.0,2.0,1.0,1,13.0,,1.0
448,27000000,Rudeshwor,169.012,East,5.0,3.0,2.0,2.0,1,8.0,,1.0
449,152500000,tangal,5476.0,South,5.0,5.0,2.0,1.0,1,18.0,,1.0
450,48000000,Maharajgunj,295.771,South,5.0,4.0,2.0,1.0,1,13.0,,1.0
451,36500000,Bhangal,169.012,East,6.0,5.0,2.0,2.0,1,15.0,,1.0
452,38500000,Narayanthan,169.012,South,6.0,5.0,2.0,2.0,1,13.0,,1.0
455,41000000,Imadol,169.012,South,6.0,6.0,2.0,2.0,1,13.0,,1.0
456,44500000,Tikathali,169.012,East,7.0,6.0,2.0,2.0,1,23.0,,1.0
457,40000000,Bhangal,211.265,West,4.0,4.0,1.0,1.0,6,30.0,,2.5
458,19500000,Chunnikhel,126.759,North,2.0,1.0,1.0,1.0,1,14.0,,1.0
459,31500000,Imadol,126.759,South,5.0,5.0,2.0,2.0,1,13.0,,1.0
460,25500000,Imadol,126.759,East,5.0,4.0,2.0,2.0,1,13.0,,1.0
462,17000000,Tikathali,126.759,East,2.0,1.0,1.0,1.0,1,13.0,,1.0
463,29500000,Harisiddhi,169.012,East,7.0,3.0,2.0,2.0,1,13.0,,1.0
464,23500000,Imadol,84.506,South,4.0,4.0,2.0,2.0,1,13.0,,1.0
465,22000000,Imadol,84.506,North,4.0,4.0,2.0,2.0,1,13.0,,1.0
468,26500000,Imadol,126.759,South,5.0,5.0,2.0,2.0,9,20.0,,3.0
469,29000000,Imadol,126.759,North,7.0,3.0,3.0,3.0,13+,20.0,,2.5
471,155000000,Chyasundol,718.301,East,6.0,6.0,2.0,1.0,1,20.0,,2.5
473,26000000,Tikathjali,126.759,East,6.0,3.0,2.0,2.0,10,13.0,,3.0
474,16500000,tikathali,126.759,East,2.0,1.0,1.0,1.0,4,13.0,,1.0
476,29000000,Imadol,169.012,North,4.0,4.0,2.0,2.0,8,13.0,,3.0
477,25000000,Tikathali,84.506,South,3.0,4.0,2.0,2.0,7,14.0,,2.5
478,55000000,Imadol,211.265,South,5.0,6.0,2.0,2.0,9,13.0,,3.0
479,35500000,Imadol,126.759,South,6.0,5.0,2.0,2.0,10,13.0,,3.0
480,29500000,Imadol,126.759,South,5.0,4.0,2.0,2.0,9,13.0,,2.5
481,29000000,Imadol,169.012,South,6.0,4.0,2.0,2.0,10,16.0,,3.0
482,26500000,Imadol,126.759,South,4.0,4.0,2.0,2.0,8,13.0,,2.5
483,27500000,Imadol,126.759,East,5.0,4.0,2.0,2.0,9,13.0,,3.0
484,23000000,Imadol,84.506,West,6.0,4.0,2.0,2.0,10,13.0,,2.5
486,39500000,Harisiddhi,212.31900000000002,West,5.0,5.0,2.0,2.0,9,20.0,,3.0
487,17500000,Dhunge,84.506,North,2.0,1.0,1.0,1.0,4,13.0,,1.0
488,38000000,Harhar,169.012,West,7.0,0.0,2.0,2.0,14,13.0,,3.5
489,39500000,Imadol,169.012,South,5.0,6.0,1.0,1.0,1,13.0,,1.0
490,26500000,Imadol,126.759,South,4.0,3.0,2.0,2.0,1,12.0,,1.0
491,26500000,Imadol,126.759,South,5.0,4.0,2.0,2.0,1,16.0,,1.0
492,14500000,Imadol,84.506,West,2.0,1.0,1.0,1.0,1,13.0,,1.0
493,35000000,Tikathali,169.012,North,5.0,4.0,2.0,2.0,1,13.0,,1.0
494,35500000,Imadol,126.759,South,5.0,6.0,2.0,2.0,1,13.0,,1.0
495,29900000,Imadole,126.759,South,5.0,5.0,2.0,2.0,1,13.0,,2.5
496,21500000,Tikathali,126.759,South,4.0,4.0,2.0,2.0,1,13.0,,1.0
497,53000000,Balkot,211.265,North,3.0,4.0,2.0,2.0,1,24.0,,1.0
498,39500000,Kupondole,126.759,East,3.0,3.0,1.0,1.0,1,18.0,,1.0
499,26500000,IMADOLE,126.759,South,4.0,3.0,2.0,2.0,1,13.0,,2.5
500,46000000,Ganesh,169.012,East,7.0,5.0,2.0,2.0,1,14.0,,1.0
501,33500000,Imadol,169.012,South,5.0,4.0,2.0,2.0,1,13.0,,2.5
502,22500000,Tikathali,126.759,East,6.0,3.0,3.0,3.0,1,13.0,,3.0
503,35000000,Tikathali,169.012,North,5.0,4.0,2.0,2.0,1,13.0,,3.0
504,43000000,Ganesh,211.265,West,5.0,1.0,1.0,1.0,1,13.0,,1.0
505,38000000,Binayak,169.012,West,6.0,5.0,2.0,2.0,1,13.0,,1.0
506,45000000,Bhaisepati,211.265,North,4.0,5.0,1.0,1.0,1,14.0,,1.0
507,33500000,imadol,169.012,South,6.0,5.0,2.0,2.0,1,13.0,,3.0
508,22500000,Bashundhara,3.5,North,12.0,4.0,1.0,4.0,11,20.0,,3.5
510,35500000,Imadol,1155.3,East,5.0,4.0,2.0,2.0,1,13.0,,1.0
511,33500000,Imadol,338.024,North,5.0,5.0,2.0,2.0,1,13.0,,1.0
512,31500000,Imadol,126.759,South,5.0,4.0,2.0,2.0,1,13.0,,2.5
513,41500000,khumaltar,169.012,West,6.0,5.0,2.0,2.0,1,13.0,,1.0
514,140000000,bhaisepati,718.301,North,5.0,3.0,1.0,1.0,1,20.0,,1.0
515,260000000,Mudkhu,71188.0,North,5.0,3.0,2.0,1.0,1,20.0,,1.0
516,29000000,Imadol,126.759,West,5.0,4.0,2.0,2.0,1,13.0,,1.0
517,65000000,Bhaisepati,232.3915,North,4.0,5.0,2.0,1.0,1,13.0,,2.5
518,40000000,Godawari,318.215,South,5.0,4.0,1.0,1.0,6,30.0,,2.5
519,72500000,Khumaltar,422.53,North,5.0,5.0,1.0,1.0,7,20.0,,2.5
521,44000000,Rajmargha,393.74725639999997,South,12.0,5.0,2.0,2.0,8,20.0,,2.5
522,27000000,"Lolang,",340.132,North,12.0,6.0,1.0,1.0,14,12.0,,3.5
523,14500000,Tejvinayak,126.759,East,4.0,2.0,1.0,1.0,6,13.0,,1.5
524,70000000,pokhara,464.783,North,12.0,5.0,2.0,2.0,12,26.0,,3.0
525,13500000,"Thali,",256.68,East,4.0,2.0,2.0,2.0,8,10.0,,2.5
529,35000000,"Budhanilkantha,Mahankal",169.012,East,4.0,4.0,1.0,1.0,6,13.0,,2.0
530,47500000,"Budhanilkantha,Mahankal",211.265,North,5.0,4.0,1.0,1.0,7,16.0,,2.5
531,42500000,"Budhanilkantha,Mahakal",173.23729999999998,East,7.0,3.0,2.0,2.0,11,20.0,,2.5
533,47500000,Budhanilkantha,211.265,East,6.0,3.0,2.0,2.0,10,13.0,,2.0
534,31500000,Satdobato,169.012,South,5.0,4.0,1.0,1.0,7,13.0,,2.5
535,32000000,Lampati,2.5,South,3.0,3.0,1.0,1.0,10,13.0,,3.5
536,28500000,"Chardobato,",169.012,South,5.0,3.0,2.0,2.0,9,13.0,,2.5
537,30500000,"Imadol,Lalitpur",126.759,South,5.0,4.0,2.0,2.0,9,13.0,,3.5
538,55000000,Imadol,211.265,South,6.0,7.0,2.0,2.0,10,13.0,,3.5
539,56000000,Chandol,211.265,East,3.0,3.0,2.0,1.0,5,12.0,,2.5
540,55000000,Imadol,211.265,South,6.0,5.0,4.0,2.0,12,16.0,,3.5
541,31000000,Imadol,126.759,West,5.0,4.0,2.0,2.0,9,13.0,,3.0
543,17500000,Lamatar,126.759,South,3.0,3.0,1.0,1.0,5,13.0,,2.0
544,70000000,Baneshwor,338.024,East,5.0,4.0,1.0,1.0,7,13.0,,2.0
546,42500000,Gharipatan,190.1385,East,7.0,7.0,1.0,1.0,9,20.0,,2.5
547,24000000,"Setipakha,Imadol",126.759,West,4.0,4.0,2.0,2.0,8,13.0,,3.0
548,28500000,Harisiddhi,126.759,North,5.0,4.0,2.0,1.0,8,13.0,,3.5
550,28500000,Harisiddhi,126.759,North,4.0,4.0,2.0,2.0,8,20.0,,3.0
551,65000000,"Gharipatan,Pokhara",169.012,South,5.0,4.0,1.0,1.0,7,22.0,,3.5
552,22000000,"Imadol,",169.012,South,6.0,3.0,1.0,1.0,8,13.0,,3.0
553,35500000,Ochu,126.759,South,5.0,5.0,2.0,2.0,9,20.0,,3.0
555,8500000,Jharuwarasi,105.6325,East,1.0,1.0,1.0,1.0,4,10.0,,1.0
556,55600000,Deuba,338.024,East,12.0,4.0,1.0,2.0,11,13.0,,2.5
557,14000000,Jhaukhel,169.012,North,2.0,1.0,1.0,1.0,1,12.0,,1.0
559,23000000,Tikathali,84.506,East,4.0,3.0,1.0,2.0,7,13.0,,2.5
560,65000000,Baluwakhani,380.277,West,7.0,4.0,3.0,3.0,13+,13.0,,3.5
561,38000000,Bouddha,173.23729999999998,South,7.0,4.0,2.0,2.0,11,13.0,,3.5
562,47000000,Ochu,211.265,West,5.0,6.0,1.0,2.0,8,14.0,,3.5
564,29900000,"Imadol,Mahalaxmi",126.759,North,6.0,5.0,1.0,2.0,9,13.0,,2.5
565,28000000,"Imadol,Mahalaxmi",126.759,South,6.0,4.0,1.0,2.0,9,13.0,,3.0
566,27500000,Imadol,126.759,East,4.0,4.0,2.0,2.0,8,13.0,,3.0
567,75000000,Budhanilkantha,295.771,East,4.0,5.0,1.0,1.0,6,20.0,,2.0
568,32500000,LMC,177.4626,North,5.0,5.0,3.0,3.0,1,26.0,,3.0
569,20000000,Lubhu,126.759,West,7.0,3.0,2.0,3.0,12,13.0,,2.5
571,16500000,Lubhu,126.759,East,5.0,4.0,1.0,1.0,7,18.0,,2.5
572,27500000,Nakhipot,256.68,North,5.0,4.0,1.0,2.0,8,16.0,,1.0
574,18000000,Tikathali,126.759,North,2.0,1.0,1.0,1.0,4,13.0,,1.0
575,26000000,Tikathali,126.759,East,5.0,3.0,2.0,2.0,9,11.0,,2.5
576,42500000,Dholahiti,169.012,South,12.0,5.0,1.0,2.0,11,16.0,,2.5
577,39500000,Sital,169.012,South,6.0,5.0,2.0,2.0,10,13.0,,3.5
578,23500000,Shital,84.506,South,4.0,3.0,2.0,2.0,8,13.0,,2.5
579,48000000,Imadol,211.265,South,5.0,5.0,1.0,1.0,7,20.0,,2.5
580,31000000,Dhapakhel,169.012,North,7.0,5.0,1.0,2.0,10,20.0,,3.5
581,27500000,Dhapakhel,233.709,North,6.0,3.0,3.0,3.0,12,13.0,,3.5
582,21000000,imadol,171.12,South,4.0,4.0,1.0,2.0,7,13.0,,1.0
583,31000000,"Bojhepokhari,",126.759,South,5.0,5.0,1.0,2.0,8,13.0,,3.0
584,39999999,"Hattiban,",169.012,South,6.0,4.0,1.0,1.0,8,13.0,,2.5
585,17000000,"Lubhu,Mahalaxmi",126.759,North,2.0,1.0,1.0,1.0,4,20.0,,1.0
586,19500000,"JitpurRoad,Tarakeshwor",169.012,West,2.0,1.0,1.0,1.0,4,26.0,,1.0
587,45000000,Lalitpur,253.518,West,5.0,5.0,1.0,1.0,7,13.0,,2.5
588,33000000,Tikathali,169.012,North,6.0,5.0,3.0,3.0,12,10.0,,3.0
589,31000000,setipakha,232.3915,East,4.0,4.0,2.0,2.0,7,10.0,,2.5
590,16000000,changathali,256.68,South,2.0,1.0,1.0,1.0,4,13.0,,1.0
591,15500000,Makalbari,800.0,East,1.0,1.0,1.0,1.0,1,13.0,,1.5
593,12000000,Dhapakhel,84.506,South,1.0,1.0,1.0,1.0,3,10.0,,1.0
