,price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,floors
175,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
176,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
177,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
179,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
181,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
184,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
185,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
186,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
188,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
190,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
193,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
194,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
195,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
197,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
199,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
202,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
203,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
204,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
206,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
208,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
211,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
212,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
213,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
215,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
217,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
220,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
221,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
222,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
224,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
226,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
229,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
230,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
231,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
233,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
235,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
238,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
239,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
240,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
242,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
244,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
247,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
248,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
249,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
251,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
253,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
256,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
257,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
258,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
260,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
262,45000000,Buddhanilkantha,2930.0,SOUTH-WEST,5.0,4.0,3.0,1.0,223,13.0,,
265,63500000,Buddhanilkantha,3215.0,EAST-NORTH,6.0,5.0,3.0,1.0,225,13.0,,
266,55000000,Budhanilkantha,2755.0,SOUTH-WEST,5.0,5.0,2.0,1.0,222,20.0,,
267,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
269,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
