,price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,floors
68,"रु.2,95,00,000",Dhapakhel,3 aana,South,4,5,2,2,8,10,4
69,"रु.3,35,00,000",Sanagaun,4 Anna 1 Paisa,South,5,4,2,2,undefined,20,2.5
70,"रु.2,80,00,000",manmaiju,3.5,South,5,4,2,2,5,,2.5
71,"रु.3,50,00,000",Bhaisepati,3.5 aana,East,undefined,undefined,undefined,undefined,undefined,20,2.5
72,"रु.8,50,00,000",Balkot,14ana,North,6,6,3,1,18,24ft,3
73,"रु.4,50,00,000",Bhaisepati,4.5 aana,Select,4,3,2,2,11,13,2.5
74,"रु.4,10,00,000",Bhaisepati,4 aana,North,4,3,2,2,11,16,2.5
75,"रु.2,85,00,000",Tikathali,3 aana,East,5,4,2,2,13,13,3.5
76,"रु.5,75,00,000",Bhaisepati,6 aana,East,4,3,1,1,9,13,2
77,"रु.2,65,00,000",Gothatar,3 aana,North,6,4,2,2,14,13,2.5
78,"रु.3,30,00,000",Balkot,3 Aana 1 Paisa 2 Daam,East,6,5,2,2,15,13,3
79,"रु.4,20,00,000",Imadol,4 aana,South,6,5,2,2,15,13,3
80,"रु.4,25,00,000",tauk,14,East,0,0,0,0,16,0,3.5
81,"रु.1,15,00,000",Chagunarayan,2 ana 3 paisa 1 dam,East,5,2,undefined,1,6,13,2
82,"रु.3,25,00,000",Pepsicola,3.5 aana,West,8,6,2,2,18,13,3.5
83,"रु.6,00,00,000",Kalanki,6 aana,East,4,4,2,2,9,10,2.5
84,"रु.4,10,00,000",Bhaisepati,4 aana,North,4,3,2,2,11,16,2.5
85,"रु.4,50,00,000",Bhaisepati,4.5 aana,West,4,3,2,2,11,13,2.5
86,"रु.5,00,00,000",Bhaisepati,5 Aana 1 Daam,East,4,3,2,2,11,13,2.5
87,"रु.2,10,00,000",Imadol,3 aana,North,6,5,2,2,15,15,2.5
88,"रु.1,75,00,000",Lamatar,3.5 aana,South,3,2,1,1,5,20,2.5
89,"रु.3,35,00,000",Pepsicola,3.5 aana,East,6,5,2,2,15,22,3.5
90,"रु.1,85,00,000",Sanagaun,3 aana,Select,7,4,2,2,8,13,3
91,रु.0,Bhaisepati,5 aana,South,6,4,2,2,14,13,3
92,"रु.7,50,00,000",Bhaisepati,7 aana,South,5,6,2,2,15,13,2.5
93,"रु.4,00,00,000",Ganesh,4.5 aana,East,5,4,2,2,13,16,3
94,"रु.5,75,00,000",Sital,5 Aana 1 Paisa,East,7,6,2,2,17,26,3.5
95,"रु.3,75,00,000",Imadol,4 Aana 1 Paisa,West,7,5,2,2,16,13,3.5
96,"रु.3,35,00,000",Imadol,3 Aana 1 Paisa 1 Daam,South,8,4,2,2,16,13,3.5
97,रु.0,Pasikot,6 aana,South,6,5,2,2,15,20,2.5
98,रु.0,Hattigauda,6.1 Aana,West,5,6,2,2,15,20,2.5
99,"रु.2,45,00,000",Sitalheight,3 Aana,East,4,3,2,2,11,13,2.5
100,"रु.2,70,00,000",Imadol,3 Aana 2 Daam,North,5,5,2,2,14,13,3
101,"रु.2,65,00,000",Tikathali,3 Aana 3 Paisa,West,7,5,2,2,16,13,3
102,"रु.3,10,00,000",Tikathali,3 Aana 2 Paisa 2 Daam,South,7,4,2,2,15,13,3
103,"रु.2,65,00,000",Tikathali,3 Aana 1.5 Daam,South,8,6,2,2,18,13,3.5
104,"रु.2,50,00,000",Imadol,3 aana,North,6,4,2,2,14,13,3.5
105,"रु.1,55,00,000",Siddhipur,3 aana,North,2,1,1,1,5,13,1.5
106,"रु.3,35,00,000",Imadol,3 Aana 1 Paisa,North,6,3,2,2,13,13,2.5
107,"रु.3,00,00,000",Bagdole,5 aana,Select,2,2,2,2,6,,2.5
108,"रु.3,00,00,000",Imadol,3.5 aana,East,8+,4,3,3,15,13,3.5
109,"रु.7,00,00,000",Lamachaur,9aana 2paisa,Select,5,2,7,2,9,10,2
110,"रु.4,90,00,000",Chorepatan,6 aana,North,5,4,2,2,11,16,2.5
111,"रु.1,85,00,000",bala,3 aana,South,7,6,3,3,13,8,3.5
112,"रु.4,35,00,000",Harisiddhi,7,West,6,5,1,1,8,13,2.5
113,"रु.2,45,00,000",Imadol,3 aana,North,8,6,2,2,8,16,3
114,"रु.2,00,00,000",Main,3.5 aana,South,2,4,2,2,7,26,2.5
115,रु.,Sajha,5250Sqm,North,undefined,undefined,undefined,undefined,undefined,East,undefined
116,"रु.4,20,00,000",Imadol,3.5 Aana,West,5,4,2,2,13,13,3.5
117,"रु.3,00,00,000",Imadol,3 Aana 1 Paisa,West,6,5,2,2,15,13,3
118,"रु.2,20,00,000",Lubhu,3 Aana 1 Paisa,East,5,4,2,2,13,16,2.5
119,"रु.4,45,00,000",Imadol,4 ana 1 dam,West,11,6,2,2,11,20,3
120,"रु.2,50,00,000",budhanilkantha,3 aana 1 paisa,East,4,4,2,2,undefined,13,2.5
121,"रु.3,70,00,000",Hattigauda,4 Aana,West,4,3,1,1,9,13,3
122,रु.0,Hattigauda,16 Aana 1 Ropani,East,5,8,2,1,16,13,2.5
123,"रु.2,90,00,000",Imadol,3 Aana 1 Paisa 2 Daam,East,6,5,2,2,15,16,2.5
124,"रु.6,60,00,000",Koteshwor,0-5-1-3,East,12,6,12,6,33,20ft,5
125,"रु.4,90,00,000",Dhapakhel,8.2 ana,South,6,4,3,2,3,20,2.5
126,"रु.6,00,00,000",Thimi,6 Aana,North,5,4,1,1,11,20,3
127,"रु.2,70,00,000",Sanagaun,3 Aana 1 Paisa,South,5,4,1,1,11,13,4
128,"रु.5,50,00,000",Imadol,5 aana,West,5,4,1,1,11,20,3
129,"रु.3,90,00,000",Chapali,4.5 aana,North,5,4,1,1,11,14,3
130,"रु.2,15,00,000",Ramailo,3 aana 3 paisa 3 dam,South,6,5,2,2,10,12,3.5
131,"रु.4,10,00,000",Pasikot,4 Anna 1 Daam,West,4,2,1,2,9,13,2.5
132,"रु.4,75,00,000",Pasikot,5 Anna,East,4,2,1,2,9,20,2.5
133,"रु.3,70,00,000",Hattigauda,4 aana,West,4,2,1,2,9,13,3
134,"रु.5,50,00,000",Hattigauda,6 Anna 1 Paisa,West,4,2,1,2,9,16,3
135,"रु.2,95,00,000",Tikathali,3 Anna 3 Paisa,North,5,5,2,2,14,13,3
136,"रु.3,55,00,000",Setipakha,3 Anna 2 Paisa,East,6,4,2,2,14,13,3
137,"रु.3,85,00,000",Imadol,3 Anna 3 Paisa,West,6,4,1,2,13,13,2.5
138,"रु.3,65,00,000",Bhaisepati,4 aana,North,4,5,2,1,12,13,2.5
139,"रु.1,80,00,000",Payuntar,4anna,South,8,4,2,3,8,,2.5
140,"रु.2,50,00,000",Tikathali,3 ana,South,8,6,2,2,10,13,3
141,"रु.2,69,00,000",Tikathali,3 Anna 2 Dam,East,6,4,2,2,7,13,2.5
142,"रु.3,45,00,000",Bhangal,4 Aana,South,6,4,2,2,undefined,13,3.5
